tax_class,yearly_tax,norm
102,127.75,nedc
103,129.21,nedc
104,130.3,nedc
105,131.4,nedc
106,132.86,nedc
107,133.95,nedc
108,135.41,nedc
109,136.51,nedc
110,137.97,nedc
111,139.43,nedc
112,140.52,nedc
113,141.98,nedc
114,143.44,nedc
115,144.9,nedc
116,146.36,nedc
117,147.46,nedc
118,148.92,nedc
119,150.38,nedc
120,151.84,nedc
121,153.3,nedc
122,154.76,nedc
123,156.22,nedc
124,158.04,nedc
125,159.5,nedc
126,160.96,nedc
127,162.42,nedc
128,164.25,nedc
129,165.71,nedc
130,167.17,nedc
131,168.99,nedc
132,170.45,nedc
133,172.28,nedc
134,173.74,nedc
135,175.56,nedc
136,177.02,nedc
137,178.85,nedc
138,180.67,nedc
139,182.13,nedc
140,183.96,nedc
141,185.78,nedc
142,187.61,nedc
143,189.43,nedc
144,191.26,nedc
145,193.08,nedc
146,194.91,nedc
147,196.73,nedc
148,198.56,nedc
149,200.38,nedc
150,202.21,nedc
151,204.4,nedc
152,206.22,nedc
153,208.05,nedc
154,210.24,nedc
155,212.06,nedc
156,214.25,nedc
157,216.08,nedc
158,218.27,nedc
159,220.09,nedc
160,222.28,nedc
161,224.11,nedc
162,226.3,nedc
163,228.49,nedc
164,230.68,nedc
165,232.87,nedc
166,234.69,nedc
167,236.88,nedc
168,239.07,nedc
169,241.26,nedc
170,243.45,nedc
171,246.01,nedc
172,248.2,nedc
173,250.39,nedc
174,252.58,nedc
175,254.77,nedc
176,257.32,nedc
177,259.51,nedc
178,261.7,nedc
179,264.26,nedc
180,266.45,nedc
181,269,nedc
182,271.19,nedc
183,273.75,nedc
184,276.3,nedc
185,278.49,nedc
186,281.05,nedc
187,283.6,nedc
188,286.16,nedc
189,288.35,nedc
190,290.9,nedc
191,293.46,nedc
192,296.01,nedc
193,298.57,nedc
194,301.12,nedc
195,303.68,nedc
196,306.23,nedc
197,309.15,nedc
198,311.71,nedc
199,313.9,nedc
200,316.09,nedc
201,318.28,nedc
202,320.1,nedc
203,322.29,nedc
204,324.48,nedc
205,326.67,nedc
206,328.5,nedc
207,330.69,nedc
208,332.88,nedc
209,335.07,nedc
210,337.26,nedc
211,339.45,nedc
212,341.27,nedc
213,343.46,nedc
214,345.65,nedc
215,347.84,nedc
216,350.03,nedc
217,352.22,nedc
218,354.41,nedc
219,356.6,nedc
220,358.79,nedc
221,360.98,nedc
222,363.17,nedc
223,365.36,nedc
224,367.55,nedc
225,369.74,nedc
226,371.93,nedc
227,374.12,nedc
228,376.31,nedc
229,378.5,nedc
230,380.69,nedc
231,382.88,nedc
232,385.07,nedc
233,387.63,nedc
234,389.82,nedc
235,392.01,nedc
236,394.2,nedc
237,396.39,nedc
238,398.58,nedc
239,400.77,nedc
240,402.96,nedc
241,405.15,nedc
242,407.34,nedc
243,409.53,nedc
244,412.08,nedc
245,414.27,nedc
246,416.46,nedc
247,418.65,nedc
248,420.84,nedc
249,423.03,nedc
250,425.22,nedc
251,427.41,nedc
252,429.6,nedc
253,431.79,nedc
254,433.98,nedc
255,436.17,nedc
256,438.36,nedc
257,440.55,nedc
258,442.74,nedc
259,444.93,nedc
260,447.12,nedc
261,449.31,nedc
262,451.5,nedc
263,453.69,nedc
264,455.88,nedc
265,457.71,nedc
266,459.9,nedc
267,462.09,nedc
268,464.28,nedc
269,466.47,nedc
270,468.66,nedc
271,470.48,nedc
272,472.67,nedc
273,474.86,nedc
274,477.05,nedc
275,478.88,nedc
276,481.07,nedc
277,483.26,nedc
278,485.08,nedc
279,487.27,nedc
280,489.1,nedc
281,491.29,nedc
282,493.11,nedc
283,495.3,nedc
284,497.49,nedc
285,499.32,nedc
286,501.14,nedc
287,503.33,nedc
288,505.16,nedc
289,507.35,nedc
290,509.17,nedc
291,511,nedc
292,513.19,nedc
293,515.01,nedc
294,516.84,nedc
295,518.66,nedc
296,520.49,nedc
297,522.68,nedc
298,524.5,nedc
299,526.33,nedc
300,528.15,nedc
301,529.98,nedc
302,531.8,nedc
303,533.63,nedc
304,535.45,nedc
305,537.28,nedc
306,539.1,nedc
307,540.56,nedc
308,542.39,nedc
309,544.21,nedc
310,546.04,nedc
311,547.86,nedc
312,549.32,nedc
313,551.15,nedc
314,552.61,nedc
315,554.43,nedc
316,556.26,nedc
317,557.72,nedc
318,559.54,nedc
319,561,nedc
320,562.83,nedc
321,564.29,nedc
322,565.75,nedc
323,567.57,nedc
324,569.03,nedc
325,570.49,nedc
326,571.95,nedc
327,573.78,nedc
328,575.24,nedc
329,576.7,nedc
330,578.16,nedc
331,579.62,nedc
332,581.08,nedc
333,582.54,nedc
334,584,nedc
335,585.46,nedc
336,586.92,nedc
337,588.38,nedc
338,589.84,nedc
339,590.93,nedc
340,592.39,nedc
341,593.85,nedc
342,595.31,nedc
343,596.41,nedc
344,597.87,nedc
345,599.33,nedc
346,600.42,nedc
347,601.88,nedc
348,602.98,nedc
349,604.44,nedc
350,605.53,nedc
351,606.99,nedc
352,608.09,nedc
353,609.18,nedc
354,610.64,nedc
355,611.74,nedc
356,612.83,nedc
357,613.93,nedc
358,615.02,nedc
359,616.48,nedc
360,617.58,nedc
361,618.67,nedc
362,619.77,nedc
363,620.86,nedc
364,621.96,nedc
365,623.05,nedc
366,624.15,nedc
367,625.24,nedc
368,626.34,nedc
369,627.43,nedc
370,628.16,nedc
371,629.26,nedc
372,630.35,nedc
373,631.45,nedc
374,632.18,nedc
375,633.27,nedc
376,634.37,nedc
377,635.1,nedc
378,636.19,nedc
379,636.92,nedc
380,638.02,nedc
381,639.11,nedc
382,639.84,nedc
383,640.57,nedc
384,641.67,nedc
385,642.4,nedc
386,643.49,nedc
387,644.22,nedc
388,644.95,nedc
389,646.05,nedc
390,646.78,nedc
391,647.51,nedc
392,648.24,nedc
393,649.33,nedc
394,650.06,nedc
395,650.79,nedc
396,651.52,nedc
397,652.25,nedc
398,652.98,nedc
399,653.71,nedc
400,654.44,nedc
